customer_id,recency_days,frequency,monetary_value,support_tickets,segment_name,RF_Score
CUST00109,59,6,4566.15,0.0,Loyal Customers,34
CUST00110,95,6,3922.07,2.0,Loyal Customers,34
CUST00111,238,1,1135.09,0.0,Hibernating,11
CUST00112,33,9,6542.4,1.0,Loyal Customers,45
CUST00113,7,3,2095.48,0.0,New Potential,52
CUST00114,299,6,5133.53,1.0,At Risk,14
CUST00115,219,1,596.54,1.0,Hibernating,11
CUST00116,203,6,5635.9,0.0,At Risk,14
CUST00117,183,4,2534.33,0.0,Need Attention,23
CUST00118,13,4,2001.17,0.0,Need Attention,53
CUST00119,5,6,4466.32,1.0,Loyal Customers,54
CUST00120,31,2,755.8399999999999,0.0,New Potential,41
CUST00121,22,3,3028.88,0.0,New Potential,42
CUST00122,166,2,2048.93,0.0,Hibernating,21
CUST00123,28,7,3742.48,3.0,High Maintenance,45
CUST00124,254,4,2570.5,0.0,Need Attention,13
CUST00125,16,3,2455.21,0.0,New Potential,52
CUST00126,117,2,1260.02,0.0,Hibernating,21
CUST00127,17,3,1136.12,0.0,New Potential,52
CUST00128,5,3,2233.06,0.0,New Potential,52
CUST00129,31,5,4049.54,2.0,Loyal Customers,44
CUST00130,56,2,1850.58,0.0,Need Attention,31
CUST00131,127,6,6830.01,0.0,At Risk,24
CUST00132,177,5,4876.780000000001,0.0,At Risk,24
CUST00133,11,10,7152.29,1.0,Champions,55
CUST00134,18,6,4696.0199999999995,3.0,High Maintenance,44
CUST00135,393,4,2534.18,0.0,Need Attention,13
CUST00136,131,1,514.9,0.0,Hibernating,21
CUST00137,237,2,1035.87,0.0,Hibernating,11
CUST00138,35,2,1424.6100000000001,0.0,New Potential,41
CUST00139,13,4,3008.66,2.0,Need Attention,53
CUST00140,32,5,4083.36,2.0,Loyal Customers,44
CUST00141,19,2,1055.28,0.0,New Potential,41
CUST00142,229,5,1880.0,0.0,At Risk,14
CUST00143,50,7,7890.950000000001,0.0,Loyal Customers,35
CUST00144,41,10,8510.65,3.0,High Maintenance,45
CUST00145,90,1,502.35,0.0,Need Attention,31
CUST00146,5,6,6990.9400000000005,1.0,Loyal Customers,54
CUST00147,26,4,3412.56,1.0,Need Attention,43
CUST00148,14,5,3702.7,1.0,Loyal Customers,54
CUST00149,9,3,2362.6400000000003,0.0,New Potential,52
CUST00150,34,5,2641.09,0.0,Loyal Customers,44
CUST00151,43,8,6240.6,3.0,High Maintenance,35
CUST00152,9,8,5508.0,4.0,High Maintenance,55
CUST00153,25,3,1619.74,0.0,New Potential,42
CUST00154,41,10,8542.89,0.0,Loyal Customers,45
CUST00155,31,4,2343.2799999999997,0.0,Need Attention,43
CUST00156,27,3,4831.42,1.0,New Potential,42
CUST00157,60,5,2269.91,1.0,Loyal Customers,34
CUST00158,215,1,812.34,0.0,Hibernating,11
CUST00159,534,2,3713.77,0.0,Hibernating,11
CUST00160,237,2,1064.66,1.0,Hibernating,11
CUST00161,13,7,6171.42,0.0,Champions,55
CUST00162,151,2,1194.5900000000001,0.0,Hibernating,21
CUST00163,21,2,1100.06,0.0,New Potential,41
CUST00164,282,5,4657.03,1.0,At Risk,14
CUST00165,36,4,2287.08,0.0,Need Attention,43
CUST00166,37,3,3227.7,1.0,New Potential,42
CUST00167,279,1,423.24,0.0,Hibernating,11
CUST00168,12,5,4794.47,0.0,Loyal Customers,54
CUST00169,282,1,1799.45,0.0,Hibernating,11
CUST00170,16,12,7634.5599999999995,1.0,Champions,55
CUST00171,30,4,3416.04,0.0,Need Attention,43
CUST00172,44,8,6232.719999999999,3.0,High Maintenance,35
CUST00173,42,6,2018.8200000000002,1.0,Loyal Customers,34
CUST00174,2,7,3507.37,2.0,Champions,55
CUST00175,119,4,3568.3199999999997,1.0,Need Attention,23
CUST00176,9,4,6283.41,0.0,Need Attention,53
CUST00177,12,5,5158.25,0.0,Loyal Customers,54
CUST00178,32,9,5965.32,4.0,High Maintenance,45
CUST00179,35,4,1767.07,2.0,Need Attention,43
CUST00180,156,2,1570.85,1.0,Hibernating,21
CUST00181,34,2,1815.8899999999999,0.0,New Potential,41
CUST00182,59,2,672.78,0.0,Need Attention,31
CUST00183,212,3,3246.8900000000003,1.0,Hibernating,12
CUST00184,74,5,5072.85,2.0,Loyal Customers,34
CUST00185,24,9,5475.0,0.0,Loyal Customers,45
CUST00186,15,2,2279.63,1.0,New Potential,51
CUST00187,52,4,2223.79,1.0,Need Attention,33
CUST00188,89,7,5810.17,3.0,High Maintenance,35
CUST00189,3,11,8207.06,3.0,High Maintenance,55
CUST00190,17,2,854.78,1.0,New Potential,51
CUST00191,8,3,945.03,0.0,New Potential,52
CUST00192,1,6,3657.1499999999996,0.0,Loyal Customers,54
CUST00193,217,1,424.74,0.0,Hibernating,11
CUST00194,2,6,4197.11,3.0,High Maintenance,54
CUST00195,2,2,1955.96,1.0,New Potential,51
CUST00196,84,2,1272.38,1.0,Need Attention,31
CUST00197,8,12,11523.66,3.0,High Maintenance,55
CUST00198,25,10,7958.04,2.0,Loyal Customers,45
CUST00199,48,5,4359.83,1.0,Loyal Customers,34
CUST00200,25,9,7636.45,1.0,Loyal Customers,45
CUST00201,153,7,6691.56,2.0,At Risk,25
CUST00202,47,2,2363.2200000000003,0.0,Need Attention,31
CUST00203,174,2,743.3499999999999,0.0,Hibernating,21
CUST00204,46,6,3646.77,0.0,Loyal Customers,34
CUST00205,6,6,3610.58,0.0,Loyal Customers,54
CUST00206,178,10,6479.7,3.0,At Risk,25
CUST00207,78,1,193.1,0.0,Need Attention,31
CUST00208,151,6,6865.35,1.0,At Risk,24
CUST00209,339,5,3422.88,1.0,At Risk,14
CUST00210,188,2,1254.8700000000001,0.0,Hibernating,21
CUST00211,27,7,27920.05,1.0,Loyal Customers,45
CUST00212,264,3,2071.6800000000003,0.0,Hibernating,12
CUST00213,146,2,1680.61,2.0,Hibernating,21
CUST00214,124,1,1427.16,0.0,Hibernating,21
CUST00215,94,3,1564.1,1.0,Need Attention,32
CUST00216,108,1,1349.42,1.0,Need Attention,31
CUST00217,139,3,1179.94,0.0,Hibernating,22
CUST00218,14,4,2728.57,0.0,Need Attention,53
CUST00219,214,6,2782.79,1.0,At Risk,14
CUST00220,18,4,1750.5,1.0,Need Attention,43
CUST00221,8,3,1357.66,0.0,New Potential,52
CUST00222,246,2,1259.5,1.0,Hibernating,11
CUST00223,163,1,757.58,1.0,Hibernating,21
CUST00224,7,4,3249.04,1.0,Need Attention,53
CUST00225,148,3,3012.6,0.0,Hibernating,22
CUST00226,4,4,3683.7,1.0,Need Attention,53
CUST00227,213,6,4383.02,2.0,At Risk,14
CUST00228,142,7,4150.72,2.0,At Risk,25
CUST00229,152,5,3077.41,1.0,At Risk,24
CUST00230,15,9,8646.32,2.0,Champions,55
CUST00231,21,4,2330.3900000000003,0.0,Need Attention,43
CUST00232,7,3,3010.99,0.0,New Potential,52
CUST00233,421,3,1626.9899999999998,0.0,Hibernating,12
CUST00234,34,7,5988.42,0.0,Loyal Customers,45
CUST00235,12,5,3186.58,0.0,Loyal Customers,54
CUST00236,17,2,1796.52,1.0,New Potential,51
CUST00237,29,5,4240.2,0.0,Loyal Customers,44
CUST00238,56,3,3798.2000000000003,2.0,Need Attention,32
CUST00239,380,1,208.1,0.0,Hibernating,11
CUST00240,17,3,2710.16,1.0,New Potential,52
CUST00241,6,4,4566.46,0.0,Need Attention,53
CUST00242,15,7,4040.24,0.0,Champions,55
CUST00243,129,4,3129.06,1.0,Need Attention,23
CUST00244,204,2,2449.86,0.0,Hibernating,11
CUST00245,8,5,3729.23,0.0,Loyal Customers,54
CUST00246,33,5,3071.41,1.0,Loyal Customers,44
CUST00247,117,11,5611.35,3.0,At Risk,25
CUST00248,52,8,4617.07,0.0,Loyal Customers,35
CUST00249,222,3,1761.46,0.0,Hibernating,12
CUST00250,36,2,1335.96,0.0,New Potential,41
CUST00251,101,1,966.73,1.0,Need Attention,31
CUST00252,250,6,5194.02,0.0,At Risk,14
CUST00253,251,3,1901.1299999999999,0.0,Hibernating,12
CUST00254,243,4,3041.57,0.0,Need Attention,13
CUST00255,49,7,5070.56,2.0,Loyal Customers,35
CUST00256,241,2,1727.8400000000001,1.0,Hibernating,11
CUST00257,50,3,1361.41,0.0,Need Attention,32
CUST00258,35,11,6740.7300000000005,1.0,Loyal Customers,45
CUST00259,252,1,1519.33,0.0,Hibernating,11
CUST00260,13,3,2237.58,0.0,New Potential,52
CUST00261,6,3,2884.77,0.0,New Potential,52
CUST00262,9,3,1649.48,0.0,New Potential,52
CUST00263,49,13,8211.17,6.0,High Maintenance,35
CUST00264,91,2,671.0999999999999,1.0,Need Attention,31
CUST00265,9,3,1918.74,0.0,New Potential,52
CUST00266,218,4,5306.62,2.0,Need Attention,13
CUST00267,89,4,4026.2300000000005,2.0,Need Attention,33
CUST00268,39,4,4982.92,1.0,Need Attention,43
CUST00269,33,4,3130.84,1.0,Need Attention,43
CUST00270,13,4,3158.67,0.0,Need Attention,53
CUST00271,9,6,5326.4,0.0,Loyal Customers,54
CUST00272,53,14,14120.16,0.0,Loyal Customers,35
CUST00273,22,9,6554.51,4.0,High Maintenance,45
CUST00274,55,2,1003.95,0.0,Need Attention,31
CUST00275,301,6,3879.21,1.0,At Risk,14
CUST00276,9,7,9212.91,0.0,Champions,55
CUST00277,5,4,2222.75,0.0,Need Attention,53
CUST00278,129,4,2768.06,2.0,Need Attention,23
CUST00279,39,10,6562.58,1.0,Loyal Customers,45
CUST00280,52,9,7889.99,0.0,Loyal Customers,35
CUST00281,95,2,1161.06,0.0,Need Attention,31
CUST00282,356,2,774.76,1.0,Hibernating,11
CUST00283,41,11,8318.05,4.0,High Maintenance,45
CUST00284,351,2,781.62,0.0,Hibernating,11
CUST00285,22,5,2538.27,0.0,Loyal Customers,44
CUST00286,429,2,2027.25,1.0,Hibernating,11
CUST00287,39,7,6816.38,1.0,Loyal Customers,45
CUST00288,170,2,1096.1,1.0,Hibernating,21
CUST00289,55,3,1303.02,0.0,Need Attention,32
CUST00290,58,2,878.26,1.0,Need Attention,31
CUST00291,118,9,5604.34,3.0,At Risk,25
CUST00292,7,4,3132.6,1.0,Need Attention,53
CUST00293,290,3,1699.71,0.0,Hibernating,12
CUST00294,34,3,3612.55,0.0,New Potential,42
CUST00295,10,5,4296.54,0.0,Loyal Customers,54
CUST00296,192,4,1989.83,0.0,Need Attention,23
CUST00297,214,1,1130.29,1.0,Hibernating,11
CUST00298,261,1,1122.99,0.0,Hibernating,11
CUST00299,403,4,2302.1800000000003,2.0,Need Attention,13
CUST00300,47,5,2586.24,0.0,Loyal Customers,34
CUST00301,26,9,7935.46,3.0,High Maintenance,45
CUST00302,208,4,2534.0,3.0,Need Attention,13
CUST00303,14,8,5373.69,2.0,Champions,55
CUST00304,147,3,2837.27,1.0,Hibernating,22
CUST00305,226,1,531.59,0.0,Hibernating,11
CUST00306,46,6,5851.889999999999,2.0,Loyal Customers,34
CUST00307,92,3,2114.17,1.0,Need Attention,32
CUST00308,42,3,2518.37,0.0,Need Attention,32
CUST00309,68,3,2731.6099999999997,0.0,Need Attention,32
CUST00310,21,2,1126.21,1.0,New Potential,41
CUST00311,108,1,1336.82,0.0,Need Attention,31
CUST00312,124,1,486.27,0.0,Hibernating,21
CUST00313,222,1,769.77,1.0,Hibernating,11
CUST00314,76,1,560.98,0.0,Need Attention,31
CUST00315,4,12,11129.380000000001,2.0,Champions,55
CUST00316,157,2,1079.82,1.0,Hibernating,21
CUST00317,160,1,1353.24,0.0,Hibernating,21
CUST00318,55,6,6278.88,1.0,Loyal Customers,34
CUST00319,207,6,2585.4700000000003,0.0,At Risk,14
CUST00320,49,8,5389.51,1.0,Loyal Customers,35
CUST00321,176,6,3100.54,2.0,At Risk,24
CUST00322,45,6,3582.34,0.0,Loyal Customers,34
CUST00323,26,9,7552.84,0.0,Loyal Customers,45
CUST00324,334,4,6039.5599999999995,2.0,Need Attention,13
CUST00325,2,4,3975.12,0.0,Need Attention,53
CUST00326,184,3,1868.65,1.0,Hibernating,22
CUST00327,62,3,1087.67,0.0,Need Attention,32
CUST00328,382,1,371.68,0.0,Hibernating,11
CUST00329,7,4,2102.61,0.0,Need Attention,53
CUST00330,25,4,1658.54,1.0,Need Attention,43
CUST00331,211,5,3450.66,2.0,At Risk,14
CUST00332,18,4,4830.33,2.0,Need Attention,43
CUST00333,29,2,1205.58,0.0,New Potential,41
CUST00334,145,3,2170.31,1.0,Hibernating,22
CUST00335,17,4,2833.44,2.0,Need Attention,53
CUST00336,4,7,3979.4700000000003,0.0,Champions,55
CUST00337,67,2,1887.73,1.0,Need Attention,31
CUST00338,18,2,1364.21,1.0,New Potential,41
CUST00339,27,5,3070.33,1.0,Loyal Customers,44
CUST00340,46,10,6781.87,1.0,Loyal Customers,35
CUST00341,23,2,1262.52,0.0,New Potential,41
CUST00342,0,4,3043.19,1.0,Need Attention,53
CUST00343,51,6,2874.94,0.0,Loyal Customers,34
CUST00344,32,6,4985.95,4.0,High Maintenance,44
CUST00345,44,6,6318.72,1.0,Loyal Customers,34
CUST00346,59,12,10622.109999999999,2.0,Loyal Customers,35
CUST00347,244,4,3311.46,1.0,Need Attention,13
CUST00348,42,4,3043.55,0.0,Need Attention,33
CUST00349,14,6,5889.18,0.0,Loyal Customers,54
CUST00350,0,3,2121.43,0.0,New Potential,52
CUST00351,13,8,8615.57,3.0,High Maintenance,55
CUST00352,22,3,2352.36,0.0,New Potential,42
CUST00353,178,4,1755.1200000000001,1.0,Need Attention,23
CUST00354,24,6,3470.21,1.0,Loyal Customers,44
CUST00355,231,4,3405.2,2.0,Need Attention,13
CUST00356,21,6,3137.74,2.0,Loyal Customers,44
CUST00357,102,1,513.15,1.0,Need Attention,31
CUST00358,161,2,1523.3600000000001,1.0,Hibernating,21
CUST00359,29,9,6910.4,0.0,Loyal Customers,45
CUST00360,32,8,9265.23,0.0,Loyal Customers,45
CUST00361,229,1,361.04,1.0,Hibernating,11
CUST00362,12,6,3159.8599999999997,1.0,Loyal Customers,54
CUST00363,33,3,1780.5900000000001,1.0,New Potential,42
CUST00364,419,3,2049.88,2.0,Hibernating,12
CUST00365,218,1,1015.06,0.0,Hibernating,11
CUST00366,37,6,6762.91,1.0,Loyal Customers,44
CUST00367,272,1,884.81,0.0,Hibernating,11
CUST00368,115,1,348.81,1.0,Hibernating,21
CUST00369,131,3,2263.62,0.0,Hibernating,22
CUST00370,232,1,452.14,0.0,Hibernating,11
CUST00371,184,3,2631.54,1.0,Hibernating,22
CUST00372,1,3,1343.1,1.0,New Potential,52
CUST00373,133,2,1612.8899999999999,0.0,Hibernating,21
CUST00374,279,2,795.8299999999999,1.0,Hibernating,11
CUST00375,145,6,3564.29,1.0,At Risk,24
CUST00376,105,8,5532.45,0.0,Loyal Customers,35
CUST00377,140,4,2214.32,0.0,Need Attention,23
CUST00378,159,1,1622.32,0.0,Hibernating,21
CUST00379,135,2,1029.97,0.0,Hibernating,21
CUST00380,27,7,3831.9,1.0,Loyal Customers,45
CUST00381,242,1,597.86,1.0,Hibernating,11
CUST00382,42,3,1584.55,0.0,Need Attention,32
CUST00383,6,7,5682.3099999999995,3.0,High Maintenance,55
CUST00384,23,3,1529.26,0.0,New Potential,42
CUST00385,7,9,6949.7,3.0,High Maintenance,55
CUST00386,33,7,5490.0,1.0,Loyal Customers,45
CUST00387,0,3,3480.7,0.0,New Potential,52
CUST00388,97,5,2574.36,1.0,Loyal Customers,34
CUST00389,0,12,8394.1,3.0,High Maintenance,55
CUST00390,114,2,1639.4299999999998,1.0,Hibernating,21
CUST00391,49,4,3250.96,0.0,Need Attention,33
CUST00392,193,7,5290.95,0.0,At Risk,25
CUST00393,2,3,2797.96,1.0,New Potential,52
CUST00394,49,2,1196.59,1.0,Need Attention,31
CUST00395,7,4,2294.75,1.0,Need Attention,53
CUST00396,46,6,3382.7599999999998,1.0,Loyal Customers,34
CUST00397,139,11,9647.73,4.0,At Risk,25
CUST00398,29,5,3322.37,1.0,Loyal Customers,44
CUST00399,322,4,2749.65,0.0,Need Attention,13
CUST00400,34,2,1613.97,0.0,New Potential,41
CUST00401,7,2,1106.27,1.0,New Potential,51
CUST00402,192,3,1410.06,1.0,Hibernating,22
CUST00403,28,3,2404.71,0.0,New Potential,42
CUST00404,253,6,4631.52,2.0,At Risk,14
CUST00405,62,1,282.03,1.0,Need Attention,31
CUST00406,22,4,1427.6,1.0,Need Attention,43
CUST00407,16,2,2405.56,0.0,New Potential,51
CUST00408,53,8,4751.44,4.0,High Maintenance,35
CUST00409,118,7,4946.35,3.0,At Risk,25
CUST00410,50,3,2009.71,1.0,Need Attention,32
CUST00411,313,1,1756.76,0.0,Hibernating,11
CUST00412,589,1,1486.51,0.0,Hibernating,11
CUST00413,27,4,2693.84,2.0,Need Attention,43
CUST00414,63,1,311.44,1.0,Need Attention,31
CUST00415,180,2,2282.07,1.0,Hibernating,21
CUST00416,59,3,1804.88,1.0,Need Attention,32
CUST00417,211,4,2750.0299999999997,0.0,Need Attention,13
CUST00418,47,3,2381.17,1.0,Need Attention,32
CUST00419,158,2,1795.1,0.0,Hibernating,21
CUST00420,47,5,4695.67,1.0,Loyal Customers,34
CUST00421,46,8,6285.45,2.0,Loyal Customers,35
CUST00422,185,2,1075.03,0.0,Hibernating,21
CUST00423,195,3,2349.76,0.0,Hibernating,22
CUST00424,173,2,1297.49,1.0,Hibernating,21
CUST00425,3,5,3571.95,0.0,Loyal Customers,54
CUST00426,137,2,1478.25,0.0,Hibernating,21
CUST00427,61,2,331.53,1.0,Need Attention,31
CUST00428,1,8,5359.36,1.0,Champions,55
CUST00429,13,3,1361.81,1.0,New Potential,52
CUST00430,18,4,2817.12,0.0,Need Attention,43
CUST00431,214,2,903.65,0.0,Hibernating,11
CUST00432,172,4,5036.07,0.0,Need Attention,23
CUST00433,52,7,5386.66,4.0,High Maintenance,35
CUST00434,33,3,1824.26,0.0,New Potential,42
CUST00435,260,3,1740.56,1.0,Hibernating,12
CUST00436,8,5,5612.16,0.0,Loyal Customers,54
CUST00437,48,3,2048.04,0.0,Need Attention,32
CUST00438,124,3,2466.39,3.0,Hibernating,22
CUST00439,179,3,1981.34,1.0,Hibernating,22
CUST00440,124,1,325.03,1.0,Hibernating,21
CUST00441,271,1,786.67,1.0,Hibernating,11
CUST00442,129,8,4905.34,1.0,At Risk,25
CUST00443,325,3,1694.35,0.0,Hibernating,12
CUST00444,292,1,520.84,0.0,Hibernating,11
CUST00445,59,2,2068.62,0.0,Need Attention,31
CUST00446,86,1,521.16,0.0,Need Attention,31
CUST00447,7,8,3821.6,2.0,Champions,55
CUST00448,196,5,4291.91,3.0,At Risk,24
CUST00449,269,2,661.52,0.0,Hibernating,11
CUST00450,56,2,1364.32,0.0,Need Attention,31
CUST00451,59,5,4244.52,2.0,Loyal Customers,34
CUST00452,316,6,1929.85,1.0,At Risk,14
CUST00453,52,5,3564.87,1.0,Loyal Customers,34
CUST00454,5,7,5177.76,2.0,Champions,55
CUST00455,333,3,1616.76,1.0,Hibernating,12
CUST00456,207,4,3440.2,1.0,Need Attention,13
CUST00457,381,2,1371.21,0.0,Hibernating,11
CUST00458,39,3,1730.31,0.0,New Potential,42
CUST00459,297,3,2928.0299999999997,2.0,Hibernating,12
CUST00460,47,12,9567.38,1.0,Loyal Customers,35
CUST00461,254,4,1579.47,0.0,Need Attention,13
CUST00462,95,3,2689.5,1.0,Need Attention,32
CUST00463,9,7,7375.860000000001,0.0,Champions,55
CUST00464,166,10,6495.79,3.0,At Risk,25
CUST00465,237,1,1298.74,0.0,Hibernating,11
CUST00466,17,12,6279.43,2.0,Champions,55
CUST00467,5,3,1620.28,0.0,New Potential,52
CUST00468,258,2,1077.8600000000001,1.0,Hibernating,11
CUST00469,0,4,2772.31,0.0,Need Attention,53
CUST00470,226,5,3508.62,2.0,At Risk,14
CUST00471,186,1,307.23,0.0,Hibernating,21
CUST00472,25,5,4789.49,0.0,Loyal Customers,44
CUST00473,181,6,3513.72,2.0,At Risk,24
CUST00474,0,4,2364.05,1.0,Need Attention,53
CUST00475,7,10,7340.669999999999,0.0,Champions,55
CUST00476,200,7,6233.25,3.0,At Risk,15
CUST00477,59,5,3519.83,0.0,Loyal Customers,34
CUST00478,42,4,2005.68,0.0,Need Attention,33
CUST00479,329,1,319.34,1.0,Hibernating,11
CUST00480,208,7,4227.82,0.0,At Risk,15
CUST00481,53,4,1811.91,0.0,Need Attention,33
CUST00482,11,6,3296.44,0.0,Loyal Customers,54
CUST00483,34,8,5388.37,1.0,Loyal Customers,45
CUST00484,58,6,6028.98,3.0,High Maintenance,34
CUST00485,288,5,2971.02,2.0,At Risk,14
CUST00486,42,2,1807.8600000000001,0.0,Need Attention,31
CUST00487,22,8,3049.97,6.0,High Maintenance,45
CUST00488,277,4,2427.65,0.0,Need Attention,13
CUST00489,270,1,963.44,0.0,Hibernating,11
CUST00490,33,2,2074.38,1.0,New Potential,41
CUST00491,25,3,1795.63,1.0,New Potential,42
CUST00492,50,7,6233.68,1.0,Loyal Customers,35
CUST00493,168,2,1757.06,1.0,Hibernating,21
CUST00494,15,3,3012.2300000000005,0.0,New Potential,52
CUST00495,40,3,2838.69,0.0,New Potential,42
CUST00496,53,3,2971.8500000000004,0.0,Need Attention,32
CUST00497,219,1,1724.62,0.0,Hibernating,11
CUST00498,49,4,2790.75,0.0,Need Attention,33
CUST00499,26,4,3425.97,1.0,Need Attention,43
CUST00500,33,4,3749.66,0.0,Need Attention,43
CUST00501,26,5,3852.58,1.0,Loyal Customers,44
CUST00502,9,4,2253.2200000000003,0.0,Need Attention,53
CUST00503,28,8,5763.58,3.0,High Maintenance,45
CUST00504,10,3,3098.74,0.0,New Potential,52
CUST00505,3,2,1468.8,0.0,New Potential,51
CUST00506,14,10,9069.6,4.0,High Maintenance,55
